Model Details
Model: MooneyRivlin, Initial Guess: 1,1, Bounds: unbounded, RMSE: 0.128, BIC: -1268.848
Model: Ogden2, Initial Guess: 1,1,1,1, Bounds: unbounded, RMSE: 0.149, BIC: -1161.766

Predictions
Note2: this is a link 

Note: test2

x,y_original,MooneyRivlin_ypred,Ogden2_ypred
0.043633333,0.018135645,-0.006249368237595976,0.035931134612407954
0.065746667,0.031652736,-0.007913285869772219,0.05493888715544697
0.08695,0.045264498,-0.008503632363546343,0.07371979673000882
0.10761,0.057815022,-0.008091250854588616,0.09258000838857149
0.12783,0.07023214,-0.006703595636453619,0.11161072695410776
0.147636667,0.083929024,-0.004360846774624921,0.13083688799470275
0.167053333,0.096613927,-0.001080304075186056,0.1502809850626316
0.1861,0.110668386,0.0031229461120296786,0.1699628440894787
0.204793333,0.124174849,0.008235321666206108,0.18989932231571816
0.22314,0.138591645,0.014241628838359555,0.2100965017728457
0.24116,0.153861612,0.02113198441504721,0.2305750016670987
0.25886,0.168415349,0.028893163309859804,0.25134074892975944
0.27625,0.183757431,0.037513667902941694,0.27240313771018054
0.29335,0.199135877,0.04698863321768304,0.2937842240126455
0.310156667,0.214903407,0.057301443600903335,0.31547716428529826
0.326686667,0.231796985,0.06844733229162148,0.3375001689224747
0.342943333,0.248106116,0.08041396607177376,0.3598542191883318
0.358946667,0.265655117,0.09320230197554935,0.38256352539505345
0.37469,0.283181226,0.10679316745159906,0.40561490646364856
0.3902,0.301730464,0.12119638884251283,0.4290438143418508
0.405466667,0.320876471,0.13638984596681958,0.4528314913546868
0.4205,0.340597062,0.1523694157272606,0.47698868882795264
0.43532,0.360863981,0.1691441183383563,0.5015437696565914
0.449916667,0.381907232,0.18669024586231453,0.5264760323821072
0.464306667,0.403313698,0.20501499805954526,0.5518092585138921
0.47849,0.42526193,0.22410618091282364,0.5775390149504256
0.49248,0.446924312,0.24396990707695343,0.6036851258529773
0.50627,0.468991243,0.2645845229140176,0.6302303167926356
0.51988,0.49216602,0.28596819299039344,0.6572084399659823
0.5333,0.515214522,0.30809356904981355,0.6845949336803978
0.546543333,0.539642889,0.33097037337238666,0.7124116446821249
0.559616667,0.563620519,0.3545992311641959,0.7406681084722858
0.57252,0.58853728,0.37896908578772703,0.7693595967418145
0.58526,0.615078697,0.4040813494630786,0.7984959893534429
0.59784,0.640979489,0.4299317218587386,0.8280800826967039
0.61026,0.668226506,0.4565088389176599,0.8581065560142142
0.62253,0.695976824,0.4838231186278865,0.8885944551294114
0.63465,0.724051879,0.5118639998540626,0.9195388758590367
0.64663,0.753351419,0.5406445341538626,0.9509607268774869
0.65846,0.782007962,0.5701297714535183,0.9828284047332598
0.67016,0.812343819,0.6003591780826629,1.0151907560337219
0.68172,0.842963756,0.6312970971297014,1.0480154538846271
0.69315,0.874247938,0.6629597007291244,1.0813255398741828
